ISLAND CITY MALL,,,,,
POS UNPOSTED SALES,,,,,
"AS OF JUNE 21, 2022",,,,,
Item No.,Variant Code,Description,Quantity,Unit Cost,Amount
100714,,G OATS P O 3N6 200G,11,22.80187,250.82
100715,,G OATS P O 3N6 400G,5,40.55956,202.8
100723,,SIMPLY SOYA OIL 1L,18,67.13117,"1,208.36"
100724,,RED STAR YST 800G,14,100.02692,"1,400.38"
100733,,BESUTO PRWN HS 500G,12,42.43095,509.17
100737,,B PC ON GRLC 500G,25,40.96738,"1,024.18"
100743,,B PRWN CRAB 500G,15,40.25497,603.82
100755,,BSTO PC BACON 500G,21,42.05668,883.19
100757,,BSTO PC SQUID 500G,21,39.87266,837.33
100758,,LION TIGER REG MINI,"1,215",9.70117,"11,786.92"
100760,,LION TIGER REGULAR,"1,577",9.97121,"15,724.60"
100809,,STREP HNY LEMON 2s,16,12.58036,201.29
100811,,DUREX CNDM LVE 3s,2,40.58036,81.16
100815,,NES AP CREAM 125ML,199,29.20536,"5,811.87"
100817,,BYGN IS KB GR 250ML,9,47.73114,429.58
100821,,BAYGON IS WB 500ML,2,89.5753,179.15
100824,,BAYGON AER WB 300ML,11,105.33259,"1,158.66"
100825,,BYGN MIK AER WB 500ML,38,154.03869,"5,853.47"
100826,,BYGN MIK WB 600ML,13,170.16461,"2,212.14"
100828,,BYGN CK AER 300ML,6,101.64435,609.87
100829,,BYGN CK AER 450/500ML,4,151.31877,605.28
100830,,BYGN 24H R KILLER 6s,3,86.44348,259.33
100832,,RACUMIN PASTE 100G,16,53.08712,849.39
100841,,BAYGON MIK KB 500ML,9,142.5661,"1,283.09"
100842,,BAYGON MIK KB 600ML,12,170.75504,"2,049.06"
100846,,BAYGON FLY PAPER,75,15.6322,"1,172.42"
100873,,TENTAY S SCE 500ML,1,761.73839,761.74
100888,,CLASSIC PETALS TPICK,60,2.37453,142.47
100890,,BAGUIO OIL PL 1/2GAL,10,127.61268,"1,276.13"
100897,,FC SWTND CCOA 100G,22,5.80861,127.79
100898,,FC SWTND CCOA 500G,9,26.9653,242.69
100899,,C M ACID RM 250ML,10,8.968,89.68
100901,,C M ACID PURE 460ML,11,14.02794,154.31
100902,,C M ACID PURE 960ML,12,23.48735,281.85
100911,,C ALCAMPORADO 25ML,11,5.60119,61.61
100913,,C ALCAMPORADO 120ML,7,11.87557,83.13
100915,,C WINTERGREEN 25ML,10,7.38203,73.82
100918,,C WINTERGREEN 120ML,3,30.21765,90.65
100919,,C MANZANILLA 25ML,50,5.53025,276.51
100927,,WHITE RABBIT,"30,000",0.41384,"12,415.20"
100928,,KENDIMINT,"15,600",0.38144,"5,950.46"
100935,,NIPS PORTA PACK 90G,36,19.8111,713.2
100938,,GT COFFEE BP 25G,44,14.34361,631.12
100939,,GT COF GRAN BP 50G,16,27.13927,434.23
100940,,GT COFFEE 100G,9,51.80771,466.27
100950,,CAMEL SKA PUTI 3.8L,1,59.53842,59.54
100956,,ZIM CL FLRAL R 350G,14,13.96616,195.53
100960,,ZIM CL FRSH R 350G,10,12.95791,129.58
100962,,ZIM LIQ ZOSA 250ML,7,27.18144,190.27
100963,,ZIM LIQ ZOSA 500ML,10,39.25482,392.55
100964,,ZIM SC PAD SM REG 7MM,100,5.44074,544.07
100965,,ZIM SCRNG PAD MED 7MM,15,9.94895,149.23
100977,,STAR MARG SWT 100G,321,15.92297,"5,111.27"
