PLAZA MARCELA -SM,,,,,,
INVENTORY VALUATION REPORT,,,,,,
"AS OF NOVEMBER 5, 2021",,,,,,
INCODE,VARIANT,DESC,UNIT,QUANTITY,COST W/O VAT,AMOUNT W/O VAT
100806,,YL093 BENTO SET HK BOX,SET,5,205.35714,"1,026.79"
100809,,STREPSILS HONEY LEMON 12x2s,PACK,4,12.59821,50.39284
100810,,STREPSILS COOL 12x2s,PACK,4,80.23214,320.92856
100811,,DUREX CONDOMS LOVE 24x3s,BOX,18,37.05333,666.95994
100817,,BAYGON INSECT SPRAY KB GREEN 36/250ML,BOT,38,75.20759,"2,857.89"
100818,,BAYGON INSECT SPRAY KB GREEN 24/500ML,BOT,21,128.22805,"2,692.79"
100820,,BAYGON INSECT SPRAY WATER BASED 36/250ML,BOT,16,75.20536,"1,203.29"
100821,,BAYGON INSECT SPRAY WATER BASED 24/500ML,BOT,8,128.22792,"1,025.82"
100824,,BAYGON MULTI INSCT KILLER AERO WB 12/300ML,PCS,30,139.66816,"4,190.04"
100825,,BAYGON MULTI INSCT KILLER AERO WB 12x500ML,PCS,18,204.21801,"3,675.92"
100826,,BAYGON MULTI INSECT KILLER AERO WB 12x600ML,PCS,29,235.74033,"6,836.47"
100828,,BAYGON COCKROACH KILLER AEROSOL 12/300ML,PCS,22,139.69196,"3,073.22"
100829,,BAYGON COCKROACH KILLER AEROSOL 12x450/500ML,PCS,14,204.21801,"2,859.05"
100830,,BAYGON 24 HOUR ROACH KILLER 24/6,PCS,28,154.0785,"4,314.20"
100833,,RACUMIN BAIT 180/50G,BOX,91,43.74563,"3,980.85"
100834,,RACUMIN BAIT 120/100G,BOX,79,68.0006,"5,372.05"
100836,,BLATTANEX COCKROACH GEL 72x12G,PCS,21,175.92857,"3,694.50"
100841,,BAYGON MULTI INSECT KILLER KB 12/500ML,PCS,16,204.21801,"3,267.49"
100842,,BAYGON MULTI INSECT KILLER KB 12/600ML,PCS,23,235.74033,"5,422.03"
100845,,VIVO CHARDONNAY 12x750ML,BOT,6,348.73167,"2,092.39"
100846,,BAYGON FLY PAPER 50sheet,PCS,446,17.22054,"7,680.36"
100848,,VIVO CABERNET SAUVIGNON 12x750ML,BOT,6,348.73333,"2,092.40"
100866,,TENTAY NIPA SAP VINEGAR 12/1L,BOT,19,27.8006,528.2114
100867,,TENTAY NIPA SAP VINEGAR 6/2L,BOT,4,51.89583,207.58332
100870,,TENTAY BANANA KETCHUP 12/1L,BOT,1,22.09,22.09
100871,,TENTAY BANANA KETCHUP 4/1GAL,GAL,-1,86.97321,-86.97321
100872,,TENTAY SOY SAUCE 24/350ML,BOT,33,12.41815,409.79895
100873,,TENTAY SOY SAUCE 20/500ML,BOT,7,17.4955,122.4685
100874,,TENTAY SOY SAUCE 12/1L,BOT,4,34.43304,137.73216
100875,,TENTAY SOY SAUCE 6/1/2 GAL,½GAL,5,65.23512,326.1756
100877,,TENTAY PATIS SPECIAL 24/350ML,BOT,19,23.53423,447.15037
100878,,TENTAY PATIS SPECIAL 12/750ML,BOT,3,43.36333,130.08999
100880,,TENTAY PATIS SPECIAL 6/ 1/2GAL,½GAL,2,108.95833,217.91666
100882,,TENTAY PATIS FLAVOR 24/350ML,BOT,4,15.19717,60.78868
100883,,TENTAY PATIS FLAVOR 20/500ML,BOT,21,23.05357,484.12497
100884,,TENTAY PATIS FLAVOR 12/750ML,BOT,12,35.21131,422.53572
100887,,TENTAY FISH BALL SAUCE SWT N SPICY 24/330G,BOT,15,27.24107,408.61605
100888,,CLASSIC PETALS TOOTHPICK 576/550stick,BOX,151,4.7495,717.1745
100889,,BAGUIO OIL PLASTIC 12/1L,BOT,12,113.67932,"1,364.15"
100890,,BAGUIO OIL PLASTIC 12/1/2GAL,½GAL,19,206.32217,"3,920.12"
100891,,BAGUIO OIL PLASTIC 6/1GAL,GAL,12,410.41964,"4,925.04"
100897,,FAMILYS CHOICE SWTND COCOA 200/100G,PACK,362,12.77679,"4,625.20"
100898,,FAMILYS CHOICE SWTND COCOA 40/500G,PACK,30,60.26786,"1,808.04"
100899,,CERES MURIATIC ACID READY MIX 24x250ML,BOT,67,14.78571,990.64257
100901,,CERES MURIATIC ACID PURE 460ML,BOT,27,24.64286,665.35722
100902,,CERES MURIATIC ACID PURE 960ML,BOT,24,39.64286,951.42864
100904,,CERES MURIATIC ACID READY MIX 960ML,BOT,22,32.5,715
100905,,CERES MURIATIC ACID READY MIX 6x1/2GAL,½GAL,10,63.21429,632.1429
100907,,1205 UMBRELLA 3FOLD,PCS,8,187.5,"1,500.00"
100908,,1202 UMBRELLA 3FOLDS,PCS,2,187.5,375
100909,,3207 UMBRELLA 3FOLD,PCS,3,187.5,562.5
100911,,CERES ACEITE DE ALCAMPORADO 144x25ML,BOT,25,8.92857,223.21425
100912,,CERES ACEITE ALCAMPORADO 72x55ML,BOT,7,14.75,103.25
100913,,CERES ACEITE DE ALCAMPORADO 72x120ML,BOT,30,25.85714,775.7142
100915,,CERES OIL OF WINTERGREEN 144x25ML,BOT,58,11.28571,654.57118
